incorrect,correct
0 මම යති,0 මම යති
0 මම යත්වා,0 මම යත්වා
0 මම නවා,0 මම යනවා
0 මම යනවාලා,0 මම යනවාලා
0 මම යනු,0 මම යනු
0 මම යනන්,0 මම යන්න
0 මම යන්නීය,0 මම යන්නීය
1 මම යන්නෙමි,1 මම යන්නෙමි
1 මම යන්නමෙිවා,1 මම යන්නෙමිවා
0 මම යන්නෙමු,0 මම යන්නෙමු
0 මම යන්නෙමුවා,0 මම යන්නෙමුවා
0 ම යන්නෙහි,0 මම යන්නෙහි
0 මම ය්නනෙහිවා,0 මම යන්නෙහිවා
0 මම යන්නේය,0 මම යන්නේය
0 මම නය්නෝය,0 මම යන්නෝය
1 මම යිම,1 මම යමි
1 මම යමිවා,1 මම යමිවා
0 මම යමු,0 මම යමු
0 මම යමුවා,0 මම යමුවා
0 මම යය,0 මම යයි
0 මම යව,0 මම යව
0 මම යති,0 මම යවති
0 මම යවන්නීය,0 මම යවන්නීය
1 මම යවන්නෙමි,1 මම යවන්නෙමි
0 මම යවන්නමු,0 මම යවන්නෙමු
0 මම යවන්නහෙි,0 මම යවන්නෙහි
0 මම යවන්නෙහු,0 මම යවන්නෙහු
0 මම යව්නේය,0 මම යවන්නේය
0 මම යනව්නෝය,0 මම යවන්නෝය
1 මම වයමි,1 මම යවමි
0 මම යවමු,0 මම යවමු
0 මම යයවි,0 මම යවයි
0 මම යවිහ,0 මම යවහි
0 මම යවු,0 මම යවහු
0 මම යවු,0 මම යවු
0 මම යහි,0 මම යහි
0 මම යහවා,0 මම යහිවා
0 මම යහු,0 මම යහු
0 මම යහුව,0 මම යහුවා
0 මම නයලදී,0 මම යනලදී
1 ම ගියෙමි,1 මම ගියෙමි
0 මම ගියෙමු,0 මම ගියෙමු
0 මම ගියෙහි,0 මම ගියෙහි
0 මම ගයෙහු,0 මම ගියෙහු
0 මම ගියයා,0 මම ගියාය
0 මම ගයේය,0 මම ගියේය
0 ම ගියෝය,0 මම ගියෝය
0 මම ැයවේ,0 මම යැවේ
1 මම යැවෙමි,1 මම යැවෙමි
0 මම ැයවෙමු,0 මම යැවෙමු
0 මම යැවෙහි,0 මම යැවෙහි
0 මම යැවෙහු,0 මම යැවෙහු
0 මම යැවෙිය,0 මම යැවෙයි
0 මම යැවෙි,0 මම යැවෙති
0 මම යැවවෙයි,0 මම යැවවෙයි
0 මම යැවවෙති,0 මම යැවවෙති
0 මම යැවවේ,0 මම යැවවේ
0 අපි යත,0 අපි යති
0 අපි යත්වා,0 අපි යත්වා
0 අපි යනවා,0 අපි යනවා
0 අපි යනවලාා,0 අපි යනවාලා
0 පඅි යනු,0 අපි යනු
0 අපි යනන්,0 අපි යන්න
0 අපි යන්නීය,0 අපි යන්නීය
0 අපි යන්නෙමි,0 අපි යන්නෙමි
0 අපි යන්නෙමිවා,0 අපි යන්නෙමිවා
1 අපි යන්නෙමු,1 අපි යන්නෙමු
1 අි යන්නෙමුවා,1 අපි යන්නෙමුවා
0 අප යන්නෙහි,0 අපි යන්නෙහි
0 අපි යන්නෙහිවා,0 අපි යන්නෙහිවා
0 අපි යන්නේය,0 අපි යන්නේය
0 අපි නය්නෝය,0 අපි යන්නෝය
0 අපි යම,0 අපි යමි
0 අපි යමිවා,0 අපි යමිවා
1 අපි යමු,1 අපි යමු
1 අපි යමුා,1 අපි යමුවා
0 අපි යයි,0 අපි යයි
0 අප යව,0 අපි යව
0 අිප යවති,0 අපි යවති
0 අිප යවන්නීය,0 අපි යවන්නීය
0 පි යවන්නෙමි,0 අපි යවන්නෙමි
1 අප යවන්නෙමු,1 අපි යවන්නෙමු
0 අපි යවන්නෙහි,0 අපි යවන්නෙහි
0 අපි යවන්නෙහු,0 අපි යවන්නෙහු
0 අපි යවන්නේය,0 අපි යවන්නේය
0 අප යවන්නෝය,0 අපි යවන්නෝය
0 අපි වමි,0 අපි යවමි
1 අපි වයමු,1 අපි යවමු
0 අපි යවයි,0 අපි යවයි
0 පඅි යවහි,0 අපි යවහි
0 අපි යවහු,0 අපි යවහු
0 අපි වයු,0 අපි යවු
0 අපි යිහ,0 අපි යහි
0 අපි යහිවා,0 අපි යහිවා
0 අපි හු,0 අපි යහු
0 අපි යහුව,0 අපි යහුවා
0 අපි යනලදී,0 අපි යනලදී
0 අපි ගිෙයමි,0 අපි ගියෙමි
1 අිප ගියෙමු,1 අපි ගියෙමු
0 අපි ගියෙහි,0 අපි ගියෙහි
0 අපි ිගයෙහු,0 අපි ගියෙහු
0 අපි ගියය,0 අපි ගියාය
0 අපි ගියේය,0 අපි ගියේය
0 අිප ගියෝය,0 අපි ගියෝය
0 අපි යවේ,0 අපි යැවේ
0 අපි යැවෙමි,0 අපි යැවෙමි
1 අි යැවෙමු,1 අපි යැවෙමු
0 අපි යැවෙහි,0 අපි යැවෙහි
0 පඅි යැවෙහු,0 අපි යැවෙහු
0 අපි යැවෙයි,0 අපි යැවෙයි
0 පඅි යැවෙති,0 අපි යැවෙති
0 අි යැවවෙයි,0 අපි යැවවෙයි
0 අපි යැවවෙති,0 අපි යැවවෙති
0 අපි යැවවේ,0 අපි යැවවේ
0 නුබ යති,0 නුබ යති
0 නබ යත්වා,0 නුබ යත්වා
1 නුබ නවා,1 නුබ යනවා
0 නුබ නයවාලා,0 නුබ යනවාලා
1 නුබ යනු,1 නුබ යනු
1 නබු යන්න,1 නුබ යන්න
0 නුබ යන්නී,0 නුබ යන්නීය
0 නුබ යන්ෙනමි,0 නුබ යන්නෙමි
0 නු යන්නෙමිවා,0 නුබ යන්නෙමිවා
0 නුබ යන්නෙමු,0 නුබ යන්නෙමු
0 නුබ යනනෙමුවා,0 නුබ යන්නෙමුවා
1 ුබ යන්නෙහි,1 නුබ යන්නෙහි
1 නබු යන්නෙහිවා,1 නුබ යන්නෙහිවා
0 ුනබ යන්නේය,0 නුබ යන්නේය
0 නුබ නය්නෝය,0 නුබ යන්නෝය
0 නුබ යම,0 නුබ යමි
0 නුබ යමිවා,0 නුබ යමිවා
0 නුබ මයු,0 නුබ යමු
0 නුබ යමුවා,0 නුබ යමුවා
0 නුබ යි,0 නුබ යයි
1 නු යව,1 නුබ යව
0 නුබ යවත,0 නුබ යවති
0 නුබ යවන්නීය,0 නුබ යවන්නීය
0 නුබ යවන්නෙමි,0 නුබ යවන්නෙමි
0 නුබ යවන්නෙමු,0 නුබ යවන්නෙමු
1 නුබ යවන්නෙහි,1 නුබ යවන්නෙහි
0 නබු යවන්නෙහු,0 නුබ යවන්නෙහු
0 නු යවන්නේය,0 නුබ යවන්නේය
0 නුබ යනව්නෝය,0 නුබ යවන්නෝය
0 ුනබ යවමි,0 නුබ යවමි
0 නුබ වයමු,0 නුබ යවමු
0 නබු යවයි,0 නුබ යවයි
1 ුනබ යවහි,1 නුබ යවහි
0 නුබ යවහු,0 නුබ යවහු
0 නුබ යුව,0 නුබ යවු
1 නබ යහි,1 නුබ යහි
1 නුබ යහිවා,1 නුබ යහිවා
0 නුබ හු,0 නුබ යහු
0 නබු යහුවා,0 නුබ යහුවා
0 නබ යනලදී,0 නුබ යනලදී
0 නබු ගියෙමි,0 නුබ ගියෙමි
0 නුබ ගියෙමු,0 නුබ ගියෙමු
1 නුබ ගියහෙි,1 නුබ ගියෙහි
0 නුබ ගියහු,0 නුබ ගියෙහු
0 නුබ ගියාය,0 නුබ ගියාය
0 නබු ගියේය,0 නුබ ගියේය
0 නබු ගියෝය,0 නුබ ගියෝය
0 නබු යැවේ,0 නුබ යැවේ
0 නුබ යැවෙමි,0 නුබ යැවෙමි
0 ුනබ යැවෙමු,0 නුබ යැවෙමු
0 නුබ යැවෙහි,0 නුබ යැවෙහි
0 නුබ යැවෙහු,0 නුබ යැවෙහු
0 නුබ යැවෙයි,0 නුබ යැවෙයි
0 නුබ යැවති,0 නුබ යැවෙති
0 ුනබ යැවවෙයි,0 නුබ යැවවෙයි
0 ුනබ යැවවෙති,0 නුබ යැවවෙති
0 නුබ යැවේ,0 නුබ යැවවේ
0 නුබලා තයි,0 නුබලා යති
0 නුබලා යත්ව,0 නුබලා යත්වා
0 නුබලා යනා,0 නුබලා යනවා
1 නුබලා යනවාාල,1 නුබලා යනවාලා
0 නුබලා යනු,0 නුබලා යනු
0 නුබලා යන්න,0 නුබලා යන්න
0 නුබලා යන්ීය,0 නුබලා යන්නීය
0 නුලබා යන්නෙමි,0 නුබලා යන්නෙමි
0 නුලබා යන්නෙමිවා,0 නුබලා යන්නෙමිවා
0 නුබලා යන්නෙමු,0 නුබලා යන්නෙමු
0 නබලා යන්නෙමුවා,0 නුබලා යන්නෙමුවා
0 නුබලා යන්ෙහි,0 නුබලා යන්නෙහි
0 නුබලා යන්නෙහිවා,0 නුබලා යන්නෙහිවා
0 නුබලා යන්නේය,0 නුබලා යන්නේය
0 නුලබා යන්නෝය,0 නුබලා යන්නෝය
0 නුබලා මි,0 නුබලා යමි
0 නුබලා යිමවා,0 නුබලා යමිවා
0 නුබලා යු,0 නුබලා යමු
0 නුබලා යමුවා,0 නුබලා යමුවා
0 නුබලා යිය,0 නුබලා යයි
0 නුබලා ය,0 නුබලා යව
0 නුලා යවති,0 නුබලා යවති
0 නබුලා යවන්නීය,0 නුබලා යවන්නීය
0 නුබලා යවන්නෙමි,0 නුබලා යවන්නෙමි
0 නුබලා යවන්නෙමු,0 නුබලා යවන්නෙමු
0 නුබල යවන්නෙහි,0 නුබලා යවන්නෙහි
1 නුබලා යවන්නෙහු,1 නුබලා යවන්නෙහු
0 නුබලා යවන්නේය,0 නුබලා යවන්නේය
0 නුබලා යවන්නෝය,0 නුබලා යවන්නෝය
0 ුනබලා යවමි,0 නුබලා යවමි
0 නුබලා යවම,0 නුබලා යවමු
0 නුබලා යවයි,0 නුබලා යවයි
0 නබුලා යවහි,0 නුබලා යවහි
1 නුබා යවහු,1 නුබලා යවහු
1 නුබලා යවු,1 නුබලා යවු
0 නුබලා හි,0 නුබලා යහි
0 නුබලා යහිවා,0 නුබලා යහිවා
1 නුබලා යහු,1 නුබලා යහු
1 නුබලා යහුව,1 නුබලා යහුවා
0 නුබලා යනලීද,0 නුබලා යනලදී
0 නුබලා ගිෙමි,0 නුබලා ගියෙමි
0 නුබලා ියෙමු,0 නුබලා ගියෙමු
0 නුබලා ිගයෙහි,0 නුබලා ගියෙහි
1 නුබලා ගියෙහු,1 නුබලා ගියෙහු
0 නුබලා ගියාය,0 නුබලා ගියාය
0 නුබලා ගිේය,0 නුබලා ගියේය
0 නුබලා ගියෝය,0 නුබලා ගියෝය
0 නුබලා ැවේ,0 නුබලා යැවේ
0 නුබල යැවෙමි,0 නුබලා යැවෙමි
0 නබුලා යැවෙමු,0 නුබලා යැවෙමු
1 ුබලා යැවෙහි,1 නුබලා යැවෙහි
1 නුබලා යැවෙහු,1 නුබලා යැවෙහු
0 නුලබා යැවෙයි,0 නුබලා යැවෙයි
0 නුබා යැවෙති,0 නුබලා යැවෙති
0 නුබලා යැවවෙයි,0 නුබලා යැවවෙයි
0 නුබලා යැවවෙති,0 නුබලා යැවවෙති
0 නුබලා යැවවේ,0 නුබලා යැවවේ
0 ළමයා යත,0 ළමයා යති
1 ළමයා යත්වා,1 ළමයා යත්වා
0 ළමාය යනවා,0 ළමයා යනවා
0 ළමයා නවාලා,0 ළමයා යනවාලා
0 ළයමා යනු,0 ළමයා යනු
0 ළමයා යන්න,0 ළමයා යන්න
1 ළමය යන්නීය,1 ළමයා යන්නීය
0 ළයමා යන්නෙමි,0 ළමයා යන්නෙමි
0 ළමයා යන්නෙමිවා,0 ළමයා යන්නෙමිවා
0 ළමයා න්නෙමු,0 ළමයා යන්නෙමු
0 ළමාය යන්නෙමුවා,0 ළමයා යන්නෙමුවා
0 ළමයා යන්නෙි,0 ළමයා යන්නෙහි
0 ළමයා යන්නෙහිවා,0 ළමයා යන්නෙහිවා
1 ළමාය යන්නේය,1 ළමයා යන්නේය
0 ළමයා යන්නෝය,0 ළමයා යන්නෝය
0 ළමයා මයි,0 ළමයා යමි
0 ළමයා යමිවා,0 ළමයා යමිවා
0 ළයා යමු,0 ළමයා යමු
0 ළමයා යමවුා,0 ළමයා යමුවා
1 ළයා යයි,1 ළමයා යයි
0 ළමයා වය,0 ළමයා යව
0 ළමයා යවති,0 ළමයා යවති
1 ළමා යවන්නීය,1 ළමයා යවන්නීය
0 ළමය යවන්නෙමි,0 ළමයා යවන්නෙමි
0 ළමා යවන්නෙමු,0 ළමයා යවන්නෙමු
0 ළමයා යවන්නෙි,0 ළමයා යවන්නෙහි
0 ළයා යවන්නෙහු,0 ළමයා යවන්නෙහු
1 ළමයා යවන්නේය,1 ළමයා යවන්නේය
0 ළමයා යවන්නෝය,0 ළමයා යවන්නෝය
0 ළමයා යවම,0 ළමයා යවමි
0 ළමයා යමු,0 ළමයා යවමු
1 ළමයා යවයි,1 ළමයා යවයි
0 ළමයා යවහි,0 ළමයා යවහි
0 ළමයා යවහු,0 ළමයා යවහු
0 ළමයා යවු,0 ළමයා යවු
0 ළමයා හි,0 ළමයා යහි
0 ළමාය යහිවා,0 ළමයා යහිවා
0 ළමයා යුහ,0 ළමයා යහු
0 ළමය යහුවා,0 ළමයා යහුවා
0 ළමයා යනදලී,0 ළමයා යනලදී
0 ළමයා ිගයෙමි,0 ළමයා ගියෙමි
0 ළයමා ගියෙමු,0 ළමයා ගියෙමු
0 ළමයා ගියෙහි,0 ළමයා ගියෙහි
0 ළයමා ගියෙහු,0 ළමයා ගියෙහු
1 ළමයා ගියාය,1 ළමයා ගියාය
1 ළමයා ගියේය,1 ළමයා ගියේය
0 ළමයා ගියය,0 ළමයා ගියෝය
1 ළමයා යැවේ,1 ළමයා යැවේ
0 මළයා යැවෙමි,0 ළමයා යැවෙමි
0 ළයා යැවෙමු,0 ළමයා යැවෙමු
0 ළමා යැවෙහි,0 ළමයා යැවෙහි
0 ළමයා යැෙවහු,0 ළමයා යැවෙහු
1 මයා යැවෙයි,1 ළමයා යැවෙයි
0 ළමා යැවෙති,0 ළමයා යැවෙති
1 ළමයා යැවවෙයි,1 ළමයා යැවවෙයි
0 ළමාය යැවවෙති,0 ළමයා යැවවෙති
1 ළමයා යැවේ,1 ළමයා යැවවේ
1 ළමයි ති,1 ළමයි යති
0 ළමයි ය්තවා,0 ළමයි යත්වා
0 ළමයි යනා,0 ළමයි යනවා
0 ළමයි යනවාලා,0 ළමයි යනවාලා
0 ළමයි යනු,0 ළමයි යනු
0 ළමයි නය්න,0 ළමයි යන්න
0 ළමයි යනනීය,0 ළමයි යන්නීය
0 ළමයි යන්නෙමි,0 ළමයි යන්නෙමි
0 ළමි යන්නෙමිවා,0 ළමයි යන්නෙමිවා
0 ළයි යන්නෙමු,0 ළමයි යන්නෙමු
0 ළමයි යන්නෙමවා,0 ළමයි යන්නෙමුවා
0 ළමයි යන්නෙහි,0 ළමයි යන්නෙහි
